"hour","datetime","ticker","high_price"
"9","2020-05-14 09:39:00.000","BYND","137.97"
"10","2020-05-14 10:31:00.000","BYND","139.56"
"11","2020-05-14 11:15:00.000","BYND","141.0"
"12","2020-05-14 12:57:00.000","BYND","138.24"
"13","2020-05-14 13:00:00.000","BYND","137.79"
"14","2020-05-14 14:12:00.000","BYND","135.73"
"15","2020-05-14 15:54:00.000","BYND","135.85"
"9","2020-05-14 09:32:00.000","DDOG","67.25"
"10","2020-05-14 10:09:00.000","DDOG","66.55"
"11","2020-05-14 11:05:00.000","DDOG","65.0"
"11","2020-05-14 11:06:00.000","DDOG","65.0"
"11","2020-05-14 11:16:00.000","DDOG","65.0"
"11","2020-05-14 11:20:00.000","DDOG","65.0"
"12","2020-05-14 12:54:00.000","DDOG","64.88"
"13","2020-05-14 13:02:00.000","DDOG","65.0"
"14","2020-05-14 14:48:00.000","DDOG","64.13"
"15","2020-05-14 15:54:00.000","DDOG","65.87"
"9","2020-05-14 09:37:00.000","FB","203.87"
"10","2020-05-14 10:53:00.000","FB","203.35"
"11","2020-05-14 11:37:00.000","FB","204.27"
"12","2020-05-14 12:56:00.000","FB","205.1"
"13","2020-05-14 13:32:00.000","FB","205.64"
"14","2020-05-14 14:29:00.000","FB","204.99"
"15","2020-05-14 15:59:00.000","FB","206.93"
"9","2020-05-14 09:36:00.000","NFLX","452.0"
"10","2020-05-14 10:08:00.000","NFLX","446.51"
"11","2020-05-14 11:16:00.000","NFLX","440.64"
"12","2020-05-14 12:59:00.000","NFLX","440.34"
"13","2020-05-14 13:49:00.000","NFLX","441.78"
"14","2020-05-14 14:30:00.000","NFLX","441.44"
"15","2020-05-14 15:59:00.000","NFLX","442.14"
"9","2020-05-14 09:38:00.000","OKTA","178.0"
"9","2020-05-14 09:39:00.000","OKTA","178.0"
"10","2020-05-14 10:10:00.000","OKTA","177.81"
"11","2020-05-14 11:37:00.000","OKTA","179.89"
"12","2020-05-14 12:57:00.000","OKTA","179.01"
"13","2020-05-14 13:02:00.000","OKTA","178.5"
"13","2020-05-14 13:03:00.000","OKTA","178.5"
"14","2020-05-14 14:32:00.000","OKTA","177.81"
"15","2020-05-14 15:05:00.000","OKTA","177.85"
"9","2020-05-14 09:31:00.000","PINS","16.54"
"9","2020-05-14 09:32:00.000","PINS","16.54"
"10","2020-05-14 10:52:00.000","PINS","16.67"
"10","2020-05-14 10:53:00.000","PINS","16.67"
"10","2020-05-14 10:54:00.000","PINS","16.67"
"10","2020-05-14 10:55:00.000","PINS","16.67"
"11","2020-05-14 11:18:00.000","PINS","16.94"
"11","2020-05-14 11:19:00.000","PINS","16.94"
"12","2020-05-14 12:57:00.000","PINS","17.04"
"13","2020-05-14 13:26:00.000","PINS","17.03"
"14","2020-05-14 14:21:00.000","PINS","16.91"
"14","2020-05-14 14:22:00.000","PINS","16.91"
"15","2020-05-14 15:50:00.000","PINS","17.09"
"15","2020-05-14 15:51:00.000","PINS","17.09"
"9","2020-05-14 09:31:00.000","SHOP","758.09"
"10","2020-05-14 10:10:00.000","SHOP","752.0"
"10","2020-05-14 10:12:00.000","SHOP","752.0"
"11","2020-05-14 11:16:00.000","SHOP","757.47"
"12","2020-05-14 12:57:00.000","SHOP","754.16"
"13","2020-05-14 13:01:00.000","SHOP","755.82"
"14","2020-05-14 14:57:00.000","SHOP","751.8"
"15","2020-05-14 15:50:00.000","SHOP","755.57"
"9","2020-05-14 09:31:00.000","SNAP","16.73"
"10","2020-05-14 10:53:00.000","SNAP","16.93"
"10","2020-05-14 10:54:00.000","SNAP","16.93"
"11","2020-05-14 11:07:00.000","SNAP","17.15"
"12","2020-05-14 12:57:00.000","SNAP","16.99"
"13","2020-05-14 13:31:00.000","SNAP","17.0"
"14","2020-05-14 14:57:00.000","SNAP","16.92"
"14","2020-05-14 14:58:00.000","SNAP","16.92"
"15","2020-05-14 15:04:00.000","SNAP","16.97"
"15","2020-05-14 15:08:00.000","SNAP","16.97"
"15","2020-05-14 15:09:00.000","SNAP","16.97"
"9","2020-05-14 09:46:00.000","SQ","72.81"
"10","2020-05-14 10:59:00.000","SQ","75.59"
"11","2020-05-14 11:09:00.000","SQ","76.49"
"12","2020-05-14 12:59:00.000","SQ","76.75"
"13","2020-05-14 13:48:00.000","SQ","77.18"
"14","2020-05-14 14:59:00.000","SQ","77.26"
"15","2020-05-14 15:57:00.000","SQ","78.25"
"9","2020-05-14 09:31:00.000","TTD","289.45"
"10","2020-05-14 10:53:00.000","TTD","290.07"
"11","2020-05-14 11:18:00.000","TTD","296.86"
"12","2020-05-14 12:57:00.000","TTD","294.5"
"13","2020-05-14 13:31:00.000","TTD","296.0"
"14","2020-05-14 14:59:00.000","TTD","295.77"
"15","2020-05-14 15:24:00.000","TTD","297.67"
